advertiser,election,topic,spend_week,spend_month,spend
RANDALL TERRY PRESIDENT,PRES,Abortion,2024_10/29-11/11,2024_11,11852.74214
RSLC,PRES,Immigration,2024_10/01-10/07,2024_10,63575.81362
DNC,PRES,Abortion,2024_10/08-10/14,2024_10,19.99970312
NEVER BACK DOWN,PRES,Economy & Labor,2024_10/15-10/28,2024_10,2.5
SECURING AMERICAN GREATNESS,PRES,Immigration,2024_10/22-11/04,2024_10,6.243453328
UA,PRES,Economy & Labor,2024_10/29-11/03,2024_11,19.3747
CLIMATE POWER,PRES,Climate & Energy,2024_10/29-11/04,2024_11,5765.096474
FUTURE FORWARD,PRES,Economy & Labor,2024_10/08-10/14,2024_10,1466155.947
FUTURE FORWARD,PRES,Economy & Labor,2024_11/05-11/11,2024_11,2304508.5
FUTURE FORWARD & WORKING FAMILIES PARTY,PRES,Economy & Labor,2024_10/29-11/11,2024_11,251825.274
KAMALA HARRIS PRESIDENT,PRES,Abortion,2024_10/08-10/14,2024_10,1410823.234
LINCOLN PROJECT,PRES,Abortion,2024_10/15-10/28,2024_10,27.9164025
PASS THE TORCH,PRES,Abortion,2024_10/08-10/14,2024_10,31.69620312
PEOPLE POWER PA,PRES,Economy & Labor,2024_10/29-11/11,2024_11,29.583
PEOPLE POWER PA,PRES,Abortion,2024_10/22-11/04,2024_10,1713.181633
PRIORITIES USA & SOMOS,PRES,Immigration,2024_11/05-11/11,2024_11,7676.510144
RIGHT FOR AMERICA,PRES,Immigration,2024_10/29-11/04,2024_11,8503.260114
RIGHT FOR AMERICA,PRES,Immigration,2024_10/08-10/21,2024_10,21499.37911
SECURING AMERICAN GREATNESS,PRES,Economy & Labor,2024_10/01-10/14,2024_10,7.080104218
SEIU,PRES,Abortion,2024_10/29-11/03,2024_11,20000.66321
SEIU,PRES,Economy & Labor,2024_10/29-11/04,2024_11,8436.676564
AB PAC,PRES,Abortion,2024_10/08-10/13,2024_10,67106.92371
CONSERVATIVES FOR EFFECTIVE GOVT,PRES,Economy & Labor,2024_10/01-10/06,2024_10,793.8071588
DONALD TRUMP PRESIDENT,PRES,Immigration,2024_10/08-10/13,2024_10,19754.98953
FUTURE FORWARD,PRES,Abortion,2024_11/05-11/11,2024_11,4309.275987
FUTURE FORWARD & EDF,PRES,Economy & Labor,2024_11/05-11/11,2024_11,10292.3097
FUTURE FORWARD & WORKING FAMILIES PARTY,PRES,Economy & Labor,2024_10/29-11/04,2024_11,489813.2504
JOE BIDEN PRESIDENT,PRES,Economy & Labor,2024_10/08-10/14,2024_10,670.1877872
KAMALA HARRIS PRESIDENT,PRES,Immigration,2024_10/08-10/14,2024_10,82087.56149
LINCOLN PROJECT,PRES,Abortion,2024_11/05-11/11,2024_11,99.79099438
MAKE AMERICA GREAT AGAIN,PRES,Economy & Labor,2024_10/15-10/20,2024_10,81662.93091
RNC,PRES,Economy & Labor,2024_10/29-11/04,2024_10,
SECURING AMERICAN GREATNESS,PRES,Immigration,2024_11/05-11/11,2024_11,
STAND FOR AMERICA,PRES,Immigration,2024_10/08-10/13,2024_10,8.74990625
DNC,PRES,Economy & Labor,2024_10/08-10/14,2024_10,4.1666
RIGHT FOR AMERICA,PRES,Climate & Energy,2024_11/05-11/11,2024_11,6.660208436
MAJORITY PAC,PRES,Economy & Labor,2024_10/29-11/03,2024_11,7.080004218
REPRODUCTIVE FREEDOM FOR ALL,PRES,Abortion,2024_10/15-10/20,2024_10,2.5
FUTURE FORWARD & CLIMATE POWER,PRES,Economy & Labor,2024_10/29-11/11,2024_11,2.5
PRIORITIES USA & ONE APIA NV,PRES,Economy & Labor,2024_10/08-10/21,2024_10,2.5
CLIMATE POWER,PRES,Economy & Labor,2024_10/29-11/03,2024_11,7.080104218
DAN NEWLIN,PRES,Abortion,2024_10/29-11/04,2024_11,1570.321075
DONALD TRUMP PRESIDENT,PRES,Immigration,2024_10/22-11/04,2024_10,281735.2551
DONALD TRUMP PRESIDENT,PRES,Economy & Labor,2024_11/05-11/11,2024_11,915610.0076
KAMALA HARRIS PRESIDENT,PRES,Immigration,2024_10/29-11/04,2024_10,1554.068607
LCV,PRES,Climate & Energy,2024_10/22-11/04,2024_10,49561.25551
MAKE AMERICA GREAT AGAIN,PRES,Immigration,2024_10/08-10/13,2024_10,17637.32807
ONE FOR ALL COMMITTEE,PRES,Abortion,2024_10/08-10/14,2024_10,218196.7395
ONE FOR ALL COMMITTEE,PRES,Economy & Labor,2024_10/01-10/06,2024_10,12008.07529
PRESERVE AMERICA PAC,PRES,Economy & Labor,2024_10/22-11/04,2024_10,211749.6254
PRIORITIES USA & BLACK PAC,PRES,Economy & Labor,2024_10/29-11/04,2024_10,29517.89098
RNC,PRES,Immigration,2024_10/08-10/13,2024_10,17.5000025
SECURING AMERICAN GREATNESS,PRES,Economy & Labor,2024_10/22-10/27,2024_10,11.66020344
JOE BIDEN PRESIDENT,PRES,Economy & Labor,2024_10/01-10/14,2024_10,76.04109688
NIKKI HALEY PRESIDENT,PRES,Economy & Labor,2024_11/05-11/11,2024_11,8.74990625
PASS THE TORCH,PRES,Abortion,2024_10/22-11/04,2024_10,16.2498
PEOPLE POWER PA,PRES,Economy & Labor,2024_10/22-10/27,2024_10,14.5833
NIKKI HALEY PRESIDENT,PRES,Economy & Labor,2024_10/01-10/14,2024_10,2.0833
FUTURE FORWARD & CLIMATE POWER,PRES,Economy & Labor,2024_10/22-10/28,2024_10,107.06951
FUTURE FORWARD & CLIMATE POWER,PRES,Climate & Energy,2024_10/22-10/28,2024_10,165.9916627
KAMALA HARRIS PRESIDENT,PRES,Economy & Labor,2024_10/08-10/21,2024_10,476455.1289
KAMALA HARRIS PRESIDENT,PRES,Abortion,2024_10/29-11/11,2024_11,755359.8856
MAKE AMERICA GREAT AGAIN,PRES,Immigration,2024_10/01-10/06,2024_10,
NATL NURSES UNITED,PRES,Abortion,2024_10/22-10/28,2024_10,
NATL NURSES UNITED,PRES,Abortion,2024_10/29-11/03,2024_11,
ONE FOR ALL COMMITTEE,PRES,Abortion,2024_10/01-10/07,2024_10,
PLANNED PARENTHOOD,PRES,Abortion,2024_10/01-10/14,2024_10,3582.915285
PRIORITIES USA & OUR VOICE OUR VOTE AZ,PRES,Economy & Labor,2024_10/29-11/03,2024_11,6096.421503
RESTORATION PAC,PRES,Economy & Labor,2024_10/29-11/04,2024_10,170596.5024
RIGHT FOR AMERICA,PRES,Economy & Labor,2024_10/22-11/04,2024_10,1029.788834
RNC,PRES,Immigration,2024_10/22-10/28,2024_10,931.2316144
RNC,PRES,Economy & Labor,2024_10/22-10/28,2024_10,645.11139
MILLIONS OF MI,PRES,Climate & Energy,2024_11/05-11/11,2024_11,18.1248
SECURING AMERICAN GREATNESS,PRES,Immigration,2024_10/15-10/20,2024_10,17.2914
WISCO PROJECT,PRES,Immigration,2024_10/08-10/21,2024_10,2.5
WISCO PROJECT,PRES,Immigration,2024_10/08-10/13,2024_10,5.624896875
DNC,PRES,Economy & Labor,2024_10/22-10/28,2024_10,2.5
LOCAL VOICES,PRES,Economy & Labor,2024_11/05-11/11,2024_11,4.9999
DAN NEWLIN,PRES,Abortion,2024_10/22-10/27,2024_10,574.9983494
FUTURE FORWARD & REPRODUCTIVE FREEDOM FOR ALL,PRES,Abortion,2024_10/29-11/04,2024_11,87558.69695
MAJORITY PAC,PRES,Economy & Labor,2024_10/15-10/21,2024_10,141705.9815
MAKE AMERICA GREAT AGAIN,PRES,Climate & Energy,2024_10/15-10/20,2024_10,1050.6211
NATL NURSES UNITED,PRES,Abortion,2024_10/15-10/21,2024_10,49128.95227
ONE FOR ALL COMMITTEE,PRES,Abortion,2024_10/15-10/21,2024_10,155945.8505
PASS THE TORCH,PRES,Abortion,2024_10/01-10/06,2024_10,15.20500109
PIVOT PAC,PRES,Economy & Labor,2024_10/29-11/04,2024_11,168414.9295
PRESERVE AMERICA PAC,PRES,Economy & Labor,2024_10/29-11/11,2024_11,8246.4532
PRIORITIES USA & BLACK PAC,PRES,Abortion,2024_10/29-11/11,2024_11,38174.70389
PROJECT FREEDOM,PRES,Abortion,2024_10/15-10/28,2024_10,9982.487315
SECURING AMERICAN GREATNESS,PRES,Economy & Labor,2024_10/01-10/07,2024_10,73.02238437
MAKE AMERICA GREAT AGAIN,PRES,Climate & Energy,2024_11/05-11/11,2024_11,254.166265
RSLC,PRES,Immigration,2024_10/22-11/04,2024_10,2.4999025
FUTURE FORWARD & SOMOS,PRES,Immigration,2024_10/15-10/28,2024_10,7.4999
NEVER BACK DOWN,PRES,Economy & Labor,2024_10/01-10/06,2024_10,1.7857
PROGRESS NOW,PRES,Abortion,2024_10/29-11/04,2024_11,2.5
CLIMATE POWER,PRES,Economy & Labor,2024_10/22-11/04,2024_10,
CLIMATE POWER,PRES,Climate & Energy,2024_10/29-11/03,2024_11,
FUTURE FORWARD,PRES,Abortion,2024_10/08-10/13,2024_10,105710.9812
FUTURE FORWARD & EDF,PRES,Economy & Labor,2024_10/15-10/20,2024_10,82594.96598
FUTURE FORWARD & LCV & CLIMATE POWER,PRES,Economy & Labor,2024_10/08-10/21,2024_10,10285.63387
FUTURE FORWARD & SEIU,PRES,Economy & Labor,2024_10/15-10/21,2024_10,546905.7142
MAKE AMERICA GREAT AGAIN,PRES,Immigration,2024_10/29-11/04,2024_10,1169003.81
MAKE AMERICA GREAT AGAIN,PRES,Immigration,2024_10/15-10/20,2024_10,269103.5891
ONE FOR ALL COMMITTEE,PRES,Economy & Labor,2024_10/29-11/11,2024_11,15148.70562
RESTORATION PAC,PRES,Economy & Labor,2024_10/22-10/28,2024_10,281257.0751
RON DESANTIS PRESIDENT,PRES,Immigration,2024_10/22-10/28,2024_10,5.618455828
NIKKI HALEY PRESIDENT,PRES,Economy & Labor,2024_10/08-10/14,2024_10,19.9999
AMERICANS FOR PROSPERITY,PRES,Economy & Labor,2024_10/08-10/14,2024_10,3.1249
FUTURE FORWARD,PRES,Abortion,2024_10/15-10/21,2024_10,856034.3431
FUTURE FORWARD & CLIMATE POWER,PRES,Climate & Energy,2024_10/22-10/27,2024_10,49.36195676
FUTURE FORWARD & CLIMATE POWER,PRES,Climate & Energy,2024_11/05-11/11,2024_11,72.2909975
LIUNA,PRES,Economy & Labor,2024_10/29-11/11,2024_11,95443.03257
MAKE AMERICA GREAT AGAIN,PRES,Economy & Labor,2024_10/08-10/21,2024_10,29273.85037
PROJECT FREEDOM,PRES,Abortion,2024_10/22-10/28,2024_10,1185.192702
REPRODUCTIVE FREEDOM FOR ALL,PRES,Abortion,2024_10/15-10/21,2024_10,10.61855333
AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS,PRES,Economy & Labor,2024_10/15-10/28,2024_10,18.7498
STAND FOR AMERICA,PRES,Economy & Labor,2024_10/08-10/13,2024_10,6.24990625
SOMOS VOTANTES,PRES,Economy & Labor,2024_10/01-10/07,2024_10,3.1249
DONALD TRUMP PRESIDENT,PRES,Economy & Labor,2024_10/15-10/20,2024_10,2900.732468
DONALD TRUMP PRESIDENT,PRES,Economy & Labor,2024_10/22-10/27,2024_10,3578.771268
FUTURE FORWARD & CLIMATE POWER,PRES,Climate & Energy,2024_10/08-10/21,2024_10,14.2856975
FUTURE FORWARD & REPRODUCTIVE FREEDOM FOR ALL,PRES,Economy & Labor,2024_10/29-11/03,2024_11,304528.4025
KAMALA HARRIS PRESIDENT,PRES,Immigration,2024_10/01-10/06,2024_10,27513.83191
ONE FOR ALL COMMITTEE,PRES,Abortion,2024_10/15-10/28,2024_10,
PRESERVE AMERICA PAC,PRES,Economy & Labor,2024_10/29-11/04,2024_10,
PRESERVE AMERICA PAC,PRES,Economy & Labor,2024_10/08-10/21,2024_10,32187.39888
PRIORITIES USA,PRES,Economy & Labor,2024_10/08-10/21,2024_10,8510.141475
PRIORITIES USA & SOMOS,PRES,Immigration,2024_10/15-10/20,2024_10,17292.74206
RANDALL TERRY PRESIDENT,PRES,Abortion,2024_10/22-10/28,2024_10,12536.64738
UA,PRES,Economy & Labor,2024_10/15-10/21,2024_10,12950.59612
ROBERT KENNEDY PRESIDENT,PRES,Climate & Energy,2024_10/08-10/14,2024_10,2.5
BEST OF AMERICA,PRES,Economy & Labor,2024_10/29-11/04,2024_11,9.5832025
DAN NEWLIN,PRES,Immigration,2024_10/29-11/04,2024_11,1415.558571
DAN NEWLIN,PRES,Immigration,2024_10/29-11/11,2024_11,881.214308
DONALD TRUMP PRESIDENT,PRES,Immigration,2024_10/29-11/11,2024_11,23147.39271
FUTURE FORWARD & CLIMATE POWER,PRES,Economy & Labor,2024_10/15-10/20,2024_10,37.6186025
KAMALA HARRIS PRESIDENT,PRES,Abortion,2024_10/22-11/04,2024_10,400552.3993
KAMALA HARRIS PRESIDENT,PRES,Immigration,2024_10/15-10/28,2024_10,25157.17464
LCV,PRES,Climate & Energy,2024_10/22-10/28,2024_10,223139.962
PEOPLE POWER PA,PRES,Economy & Labor,2024_11/05-11/11,2024_11,17.708
POWER TO THE POLLS,PRES,Abortion,2024_11/05-11/11,2024_11,4545.0263
PRESERVE AMERICA PAC,PRES,Immigration,2024_10/08-10/21,2024_10,23875.19418
PRIORITIES USA & BLACK PAC,PRES,Abortion,2024_10/29-11/03,2024_11,14547.99068
RANDALL TERRY PRESIDENT,PRES,Abortion,2024_10/15-10/20,2024_10,642.613015
RESTORATION PAC,PRES,Economy & Labor,2024_10/22-10/27,2024_10,44268.79951
RIGHT FOR AMERICA,PRES,Climate & Energy,2024_10/15-10/28,2024_10,10299.5135
RIGHT FOR AMERICA,PRES,Immigration,2024_10/15-10/21,2024_10,114589.2693
RNC,PRES,Immigration,2024_11/05-11/11,2024_11,33.1246
AB PAC,PRES,Economy & Labor,2024_10/08-10/13,2024_10,4.1666
CLIMATE POWER,PRES,Economy & Labor,2024_10/01-10/07,2024_10,30.6248975
DNC,PRES,Abortion,2024_10/15-10/21,2024_10,25.6182502
STAND FOR AMERICA,PRES,Economy & Labor,2024_10/08-10/14,2024_10,9.374809375
WISCO PROJECT,PRES,Immigration,2024_10/22-10/28,2024_10,10.6249
ACTION FOR A PROGRESSIVE FUTURE,PRES,Abortion,2024_10/29-11/04,2024_10,2.5
SECURING AMERICAN GREATNESS,PRES,Economy & Labor,2024_10/15-10/20,2024_10,7.499995
BEST OF AMERICA,PRES,Economy & Labor,2024_10/29-11/03,2024_11,2.5
AB PAC,PRES,Abortion,2024_10/22-10/28,2024_10,140379.4692
CLIMATE POWER,PRES,Economy & Labor,2024_10/15-10/20,2024_10,2.5
CLIMATE POWER,PRES,Climate & Energy,2024_10/01-10/06,2024_10,9145.817334
CLIMATE POWER,PRES,Climate & Energy,2024_10/15-10/21,2024_10,266.2258049
DAN NEWLIN,PRES,Abortion,2024_10/22-10/28,2024_10,4173.734495
FUTURE FORWARD & CLIMATE POWER,PRES,Economy & Labor,2024_10/01-10/06,2024_10,6270.167529
KAMALA HARRIS PRESIDENT,PRES,Economy & Labor,2024_10/01-10/07,2024_10,747662.2573
KAMALA HARRIS PRESIDENT,PRES,Abortion,2024_10/08-10/13,2024_10,239487.5818
LOCAL VOICES,PRES,Economy & Labor,2024_10/29-11/04,2024_11,1769.161378
MAKE AMERICA GREAT AGAIN,PRES,Climate & Energy,2024_10/08-10/13,2024_10,1382.405988
PRIORITIES USA & BLACK PAC,PRES,Abortion,2024_10/22-10/28,2024_10,36356.39938
PRIORITIES USA & BLACK PAC,PRES,Economy & Labor,2024_10/22-10/27,2024_10,12711.56703
PRIORITIES USA & SOMOS,PRES,Immigration,2024_10/29-11/11,2024_11,3617.287759
